Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate,LastGameDate,DaysSinceLastGame,LastUpdateDate
Rui Hachimura,27.7,LAL,Forward,346.0,26.0,-8.0,-18.0,25.0,-5.6,21.0,-3.5%,64.0,-1.2%,32.0,-2.3%,83.0,4.8,38.0,2.4,30.0,+2.5%,71.0,+1.3%,2.0,+8.7%,78.0,-4.5,2025-12-01,3.0,2025-12-04
Cameron Johnson,29.7,DEN,Wing,239.0,45.0,0.0,0.0,37.0,-1.9,30.0,-2.0%,43.0,+0.2%,55.0,-0.0%,73.0,2.9,54.0,-1.9,50.0,+0.0%,68.0,+1.1%,27.0,+2.5%,78.0,-4.4,2025-12-01,2.0,2025-12-03
PJ Washington,27.2,DAL,Big,338.0,22.0,-9.5,-23.0,16.0,-7.9,35.0,-1.4%,71.0,-1.6%,46.0,-0.8%,3.0,-10.2,41.0,1.6,25.0,+3.1%,54.0,-0.0%,99.0,-11.5%,45.0,0.8,2025-11-28,5.0,2025-12-03
Nickeil Alexander-Walker,27.2,ATL,Combo,273.0,10.0,-15.8,-37.0,29.0,-4.3,52.0,+0.6%,27.0,+1.5%,12.0,-5.6%,82.0,4.6,10.0,11.5,55.0,-0.4%,25.0,-1.8%,1.0,+9.4%,19.0,4.9,2025-12-01,2.0,2025-12-03
Goga Bitadze,26.3,ORL,Big,163.0,40.0,-2.1,-5.0,55.0,2.0,65.0,+2.3%,98.0,-5.4%,31.0,-2.4%,7.0,-7.8,32.0,4.1,21.0,+3.9%,71.0,+1.3%,56.0,-1.1%,95.0,-10.5,2025-12-01,2.0,2025-12-03
Jordan Poole,26.4,NOP,Combo,210.0,7.0,-18.2,-27.0,29.0,-4.3,7.0,-6.7%,54.0,-0.4%,69.0,+2.1%,93.0,8.1,6.0,13.8,4.0,+7.9%,87.0,+3.0%,10.0,+5.8%,5.0,9.4,2025-11-04,30.0,2025-12-04
Keldon Johnson,25.9,SAS,Wing,215.0,27.0,-6.9,-15.0,40.0,-1.1,1.0,-9.1%,88.0,-3.3%,96.0,+8.3%,55.0,0.6,26.0,5.7,43.0,+0.8%,59.0,+0.7%,36.0,+1.2%,4.0,10.0,2025-12-02,1.0,2025-12-03
Nicolas Claxton,26.5,BKN,Big,282.0,49.0,1.2,3.0,94.0,14.3,86.0,+5.4%,97.0,-5.2%,24.0,-3.2%,36.0,-1.7,7.0,13.2,23.0,+3.4%,8.0,-3.6%,14.0,+5.1%,87.0,-6.7,2025-12-01,2.0,2025-12-03
Terance Mann,29.0,BKN,Wing,262.0,81.0,13.0,12.0,89.0,11.5,68.0,+2.5%,93.0,-3.9%,30.0,-2.5%,66.0,1.9,52.0,-1.5,25.0,+3.1%,60.0,+0.7%,71.0,-3.0%,69.0,-3.0,2025-11-29,4.0,2025-12-03
Javonte Green,32.3,DET,Wing,173.0,33.0,-4.5,-9.0,14.0,-8.4,40.0,-0.8%,4.0,+4.2%,64.0,+1.2%,90.0,6.8,63.0,-3.9,74.0,-3.0%,99.0,+5.6%,2.0,+8.8%,26.0,3.2,2025-12-01,2.0,2025-12-03
Luguentz Dort,26.5,OKC,Wing,222.0,37.0,-3.8,-5.0,22.0,-5.9,13.0,-4.7%,69.0,-1.5%,83.0,+4.4%,13.0,-5.5,55.0,-2.1,65.0,-1.9%,38.0,-0.9%,39.0,+0.9%,64.0,-2.1,2025-11-30,5.0,2025-12-05
Naz Reid,26.2,MIN,Big,227.0,18.0,-11.7,-24.0,35.0,-2.4,14.0,-4.6%,14.0,+2.4%,86.0,+5.5%,56.0,0.6,16.0,9.4,15.0,+4.9%,65.0,+1.0%,7.0,+7.2%,56.0,-0.9,2025-12-02,2.0,2025-12-04
Dean Wade,28.9,CLE,Forward,190.0,14.0,-14.1,-32.0,5.0,-14.3,11.0,-5.9%,25.0,+1.6%,14.0,-4.7%,71.0,2.5,47.0,-0.1,20.0,+4.1%,86.0,+2.8%,94.0,-8.4%,23.0,3.8,2025-12-01,2.0,2025-12-03
John Konchar,29.6,MEM,Forward,105.0,75.0,10.9,26.0,52.0,1.3,38.0,-0.9%,74.0,-1.8%,52.0,-0.2%,34.0,-1.9,86.0,-9.6,82.0,-4.0%,48.0,-0.4%,74.0,-3.3%,87.0,-6.8,2025-12-02,3.0,2025-12-05
Anthony Edwards,24.2,MIN,Combo,161.0,55.0,4.5,8.0,83.0,8.7,83.0,+5.0%,78.0,-2.0%,67.0,+1.7%,8.0,-7.8,32.0,4.2,44.0,+0.6%,52.0,-0.1%,72.0,-3.1%,36.0,1.7,2025-12-02,2.0,2025-12-04
LaMelo Ball,24.2,CHA,Point,200.0,86.0,16.0,36.0,96.0,15.9,93.0,+7.3%,96.0,-5.0%,7.0,-6.5%,26.0,-2.8,47.0,-0.0,50.0,+0.0%,59.0,+0.6%,37.0,+1.1%,21.0,4.4,2025-12-01,2.0,2025-12-03
Patrick Williams,24.2,CHI,Big,203.0,35.0,-4.3,-11.0,55.0,2.2,57.0,+1.1%,64.0,-1.1%,28.0,-2.7%,72.0,2.7,21.0,6.4,33.0,+2.1%,46.0,-0.5%,24.0,+2.9%,64.0,-2.1,2025-12-01,2.0,2025-12-03
Isaac Okoro,24.8,CHI,Wing,217.0,21.0,-10.0,-24.0,27.0,-5.2,49.0,+0.2%,66.0,-1.2%,43.0,-1.3%,12.0,-5.9,30.0,4.8,45.0,+0.5%,22.0,-2.0%,15.0,+5.0%,62.0,-1.6,2025-11-21,12.0,2025-12-03
Onyeka Okongwu,24.9,ATL,Big,287.0,42.0,-1.5,-4.0,10.0,-10.5,35.0,-1.4%,4.0,+4.3%,24.0,-3.4%,46.0,-0.5,84.0,-8.9,93.0,-6.0%,20.0,-2.1%,65.0,-2.3%,88.0,-7.3,2025-12-01,2.0,2025-12-03
Deni Avdija,24.8,POR,Forward,303.0,97.0,26.6,53.0,98.0,20.4,99.0,+10.0%,76.0,-1.9%,72.0,+2.6%,83.0,4.7,74.0,-6.2,46.0,+0.4%,67.0,+1.0%,59.0,-1.4%,70.0,-3.1,2025-12-02,1.0,2025-12-03
