Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate,LastGameDate,DaysSinceLastGame,LastUpdateDate
Pelle Larsson,24.7,MIA,Wing,190.0,15.0,-12.8,-28.0,54.0,1.8,71.0,+3.0%,97.0,-5.3%,2.0,-9.8%,10.0,-6.9,4.0,14.6,4.0,+7.8%,13.0,-2.8%,41.0,+0.8%,52.0,-0.5,2025-12-01,2.0,2025-12-03
Jamal Shead,23.3,TOR,Point,168.0,81.0,13.2,29.0,77.0,7.5,37.0,-1.3%,45.0,+0.0%,88.0,+5.7%,43.0,-0.8,71.0,-5.7,80.0,-3.6%,76.0,+1.7%,65.0,-2.3%,10.0,7.5,2025-12-02,2.0,2025-12-04
Quinten Post,25.6,GSW,Big,175.0,93.0,20.5,42.0,67.0,5.3,90.0,+6.7%,36.0,+0.7%,82.0,+4.4%,17.0,-4.7,93.0,-15.2,98.0,-10.7%,25.0,-1.9%,25.0,+2.7%,66.0,-2.5,2025-12-02,2.0,2025-12-04
Cam Spencer,25.6,MEM,Wing,180.0,57.0,4.8,11.0,46.0,-0.0,39.0,-0.9%,89.0,-3.5%,25.0,-3.2%,68.0,2.2,67.0,-4.9,61.0,-1.5%,87.0,+3.1%,40.0,+0.9%,51.0,-0.3,2025-12-02,3.0,2025-12-05
RayJ Dennis,24.6,IND,Point,140.0,5.0,-20.2,-25.0,11.0,-10.2,10.0,-6.1%,38.0,+0.5%,46.0,-0.8%,28.0,-2.6,13.0,9.9,52.0,-0.1%,20.0,-2.1%,17.0,+4.4%,4.0,10.1,2025-11-28,5.0,2025-12-03
VJ Edgecombe,20.3,PHI,Combo,375.0,59.0,5.5,13.0,59.0,2.9,41.0,-0.8%,19.0,+1.9%,97.0,+8.9%,35.0,-1.7,58.0,-2.6,85.0,-4.5%,26.0,-1.7%,28.0,+2.1%,51.0,-0.3,2025-12-02,2.0,2025-12-04
Jeremiah Fears,19.0,NOP,Point,221.0,29.0,-6.2,-9.0,42.0,-1.0,47.0,+0.0%,28.0,+1.4%,54.0,-0.1%,19.0,-4.4,28.0,5.2,28.0,+2.8%,39.0,-0.9%,7.0,+7.4%,51.0,-0.3,2025-12-02,2.0,2025-12-04
Derik Queen,20.8,NOP,Big,156.0,91.0,19.4,34.0,80.0,8.2,52.0,+0.6%,23.0,+1.7%,81.0,+4.3%,97.0,9.9,89.0,-11.2,93.0,-6.1%,94.0,+4.2%,7.0,+7.4%,63.0,-1.8,2025-12-02,2.0,2025-12-04
Egor Dëmin,19.7,BKN,Point,177.0,31.0,-5.6,-5.0,30.0,-4.2,39.0,-0.9%,7.0,+3.5%,48.0,-0.6%,49.0,-0.2,41.0,1.4,41.0,+0.9%,82.0,+2.4%,33.0,+1.5%,31.0,2.6,2025-12-01,2.0,2025-12-03
Kon Knueppel,20.2,CHA,Wing,281.0,73.0,9.8,21.0,31.0,-4.0,52.0,+0.6%,36.0,+0.7%,30.0,-2.5%,6.0,-8.7,92.0,-13.8,91.0,-5.6%,54.0,-0.0%,67.0,-2.5%,79.0,-4.7,2025-12-01,2.0,2025-12-03
Ryan Kalkbrenner,23.8,CHA,Big,245.0,56.0,4.6,11.0,38.0,-1.6,72.0,+3.0%,80.0,-2.1%,1.0,-10.5%,11.0,-6.7,74.0,-6.2,86.0,-5.1%,5.0,-4.0%,29.0,+1.9%,97.0,-11.5,2025-12-01,2.0,2025-12-03
Sion James,22.9,CHA,Wing,217.0,66.0,7.3,17.0,52.0,1.4,48.0,+0.1%,37.0,+0.7%,80.0,+3.9%,49.0,-0.2,72.0,-5.9,81.0,-3.8%,72.0,+1.4%,11.0,+5.7%,93.0,-9.0,2025-12-01,2.0,2025-12-03
Will Richard,22.9,GSW,Wing,138.0,12.0,-15.0,-35.0,17.0,-7.4,1.0,-9.0%,64.0,-1.2%,48.0,-0.7%,87.0,5.6,19.0,7.6,2.0,+8.9%,74.0,+1.5%,78.0,-4.3%,43.0,0.9,2025-12-02,2.0,2025-12-04
Dylan Harper,19.7,SAS,Combo,137.0,83.0,13.6,24.0,94.0,14.5,50.0,+0.2%,96.0,-4.7%,100.0,+11.7%,66.0,1.9,43.0,0.9,69.0,-2.4%,30.0,-1.6%,93.0,-8.2%,19.0,4.8,2025-12-02,1.0,2025-12-03
Cedric Coward,22.1,MEM,Wing,282.0,87.0,16.0,32.0,83.0,8.6,81.0,+4.5%,16.0,+2.2%,51.0,-0.3%,69.0,2.3,78.0,-7.4,94.0,-6.9%,42.0,-0.7%,64.0,-2.2%,24.0,3.7,2025-12-02,3.0,2025-12-05
Cooper Flagg,18.9,DAL,Combo,324.0,2.0,-25.6,-56.0,4.0,-15.1,16.0,-4.3%,66.0,-1.2%,23.0,-3.5%,8.0,-7.7,12.0,10.5,34.0,+2.1%,4.0,-4.2%,32.0,+1.6%,17.0,5.1,2025-12-01,2.0,2025-12-03
Collin Murray-Boyles,20.4,TOR,Big,167.0,7.0,-18.5,-42.0,1.0,-21.2,0.0,-11.2%,68.0,-1.4%,28.0,-2.7%,15.0,-5.2,59.0,-2.8,62.0,-1.7%,71.0,+1.3%,21.0,+3.7%,25.0,3.5,2025-12-02,2.0,2025-12-04
Walter Clayton,22.7,UTA,Point,133.0,30.0,-5.8,-11.0,45.0,-0.2,66.0,+2.3%,12.0,+2.7%,71.0,+2.4%,59.0,1.0,27.0,5.6,17.0,+4.5%,36.0,-1.1%,91.0,-7.3%,25.0,3.5,2025-12-01,3.0,2025-12-04
Ace Bailey,19.2,UTA,Wing,150.0,0.0,-35.0,-53.0,6.0,-13.8,3.0,-7.9%,11.0,+2.7%,40.0,-1.6%,41.0,-1.1,0.0,21.2,6.0,+6.9%,19.0,-2.2%,76.0,-3.8%,0.0,12.6,2025-12-01,3.0,2025-12-04
Hugo González,19.7,BOS,Wing,106.0,62.0,6.5,16.0,34.0,-2.9,43.0,-0.1%,92.0,-3.9%,4.0,-7.6%,16.0,-4.8,85.0,-9.4,83.0,-4.1%,100.0,+7.8%,8.0,+6.5%,35.0,1.9,2025-12-02,2.0,2025-12-04
Nique Clifford,23.7,SAC,Wing,119.0,77.0,11.3,24.0,88.0,9.9,94.0,+7.8%,6.0,+3.7%,83.0,+4.4%,32.0,-2.2,51.0,-1.4,37.0,+1.5%,42.0,-0.7%,80.0,-4.5%,85.0,-5.9,2025-11-30,3.0,2025-12-03
Tre Johnson,19.7,WAS,Combo,242.0,84.0,14.6,16.0,75.0,6.9,93.0,+7.3%,41.0,+0.3%,13.0,-5.5%,69.0,2.3,78.0,-7.7,76.0,-3.1%,50.0,-0.3%,78.0,-4.2%,59.0,-1.2,2025-11-21,13.0,2025-12-04
